时间	设备名称	片上时间()	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(?t)	磁场Y(?t)	磁场Z(?t)	温度(℃)	电量()	信号()	版本号()
15:48:20.709	WT5500002992(2).wplay	2024-10-8 15:13:38.193	0.008	0.998	-0.043	0.000	0.000	0.000	92.494	-0.604	147.865	80.371	-57.715	131.543	39.4	3.67	-72	13011
15:48:20.737	WT5500002992(2).wplay	2024-10-8 15:13:38.215	0.010	0.003	1.005	0.000	0.000	0.000	0.176	-0.467	135.483	93.457	-95.312	-27.441	39.4	3.72	-59	13011
15:48:20.738	WT5500002992(2).wplay	2024-10-8 15:13:38.393	0.008	0.998	-0.043	0.000	0.000	0.000	92.494	-0.604	147.859	80.664	-57.227	132.520	39.4	3.67	-70	13011
15:48:20.745	WT5500002992(2).wplay	2024-10-8 15:13:38.315	0.010	0.003	1.006	0.000	0.000	0.000	0.181	-0.467	135.483	93.457	-95.312	-27.441	39.4	3.72	-59	13011
15:48:20.746	WT5500002992(2).wplay	2024-10-8 15:13:38.415	0.011	0.999	-0.043	0.000	0.000	0.000	92.488	-0.604	147.859	80.469	-57.324	132.129	39.4	3.67	-70	13011
15:48:20.746	WT5500002992(2).wplay	2024-10-8 15:13:38.515	0.010	0.998	-0.043	0.000	0.000	0.000	92.488	-0.604	147.859	80.371	-57.715	131.543	39.3	3.67	-70	13011
15:48:20.761	WT5500002992(2).wplay	2024-10-8 15:13:38.615	0.011	0.999	-0.043	0.000	0.000	0.000	92.488	-0.604	147.870	80.273	-57.520	133.594	39.4	3.67	-70	13011
15:48:20.761	WT5500002992(2).wplay	2024-10-8 15:13:38.715	0.011	0.998	-0.043	0.000	0.000	0.000	92.488	-0.604	147.887	80.371	-57.617	132.031	39.4	3.67	-70	13011
15:48:20.772	WT5500002992(2).wplay	2024-10-8 15:13:38.793	0.009	0.997	-0.043	0.000	0.000	0.000	92.488	-0.610	147.887	80.371	-57.715	131.543	39.4	3.67	-70	13011
15:48:20.779	WT5500002992(2).wplay	2024-10-8 15:13:38.893	0.008	0.003	1.005	0.000	0.000	0.000	0.181	-0.467	135.483	93.457	-95.312	-27.441	39.4	3.72	-59	13011
15:48:20.789	WT5500002992(2).wplay	2024-10-8 15:13:39.15	0.011	0.004	1.005	0.000	0.000	0.000	0.181	-0.467	135.483	93.359	-95.312	-27.637	39.4	3.72	-59	13011
15:48:20.797	WT5500002992(2).wplay	2024-10-8 15:13:39.93	0.007	0.998	-0.043	0.000	0.000	0.000	92.488	-0.610	147.887	80.664	-57.617	132.227	39.4	3.67	-69	13011
15:48:20.821	WT5500002992(2).wplay	2024-10-8 15:13:39.293	0.008	0.003	1.007	0.000	0.000	0.000	0.181	-0.467	135.489	93.555	-95.410	-27.539	39.4	3.72	-59	13011
15:48:20.828	WT5500002992(2).wplay	2024-10-8 15:13:39.393	0.008	0.004	1.006	0.000	0.000	0.000	0.181	-0.467	135.483	93.457	-95.312	-27.637	39.4	3.72	-59	13011
15:48:20.835	WT5500002992(2).wplay	2024-10-8 15:13:39.493	0.008	0.003	1.006	0.000	0.000	0.000	0.181	-0.467	135.483	93.555	-95.215	-27.539	39.4	3.72	-59	13011
15:48:20.842	WT5500002992(2).wplay	2024-10-8 15:13:39.593	0.010	0.001	1.005	0.000	0.000	0.000	0.181	-0.467	135.483	93.457	-95.508	-27.539	39.4	3.72	-59	13011
15:48:20.858	WT5500002992(2).wplay	2024-10-8 15:13:39.615	0.012	0.004	1.005	0.000	0.000	0.000	0.181	-0.467	135.483	93.457	-95.312	-27.539	39.4	3.72	-59	13011
15:48:20.858	WT5500002992(2).wplay	2024-10-8 15:13:39.693	0.007	0.998	-0.044	0.000	0.000	0.000	92.483	-0.610	147.887	80.371	-57.715	131.543	39.4	3.67	-69	13011
15:48:20.877	WT5500002992(2).wplay	2024-10-8 15:13:39.715	0.011	0.003	1.006	0.000	0.000	0.000	0.181	-0.467	135.483	93.359	-95.312	-27.539	39.4	3.72	-60	13011
