PCTime	MagType	HX	HY	HZ	AsX	AsY	AsZ	Q0	Q1	Q2	Q3
2025-08-06 14:35:39.336	3	-33.878	-22.256	-37.011	-0.1831	0.0000	0.0000	0.87531	-0.00317	-0.00406	-0.48343
2025-08-06 14:35:39.404	3	-30.394	-24.479	-42.380	0.0000	0.0000	0.0000	0.87411	-0.00146	-0.00049	-0.48560
2025-08-06 14:35:40.681	3	-29.510	-25.675	-42.328	0.0000	0.0000	-8.7280	0.86618	-0.00067	0.00009	-0.49960
2025-08-06 14:35:41.180	3	-28.392	-27.079	-42.354	0.0000	0.0000	-8.7280	0.85440	-0.00052	0.00015	-0.51950
2025-08-06 14:35:41.380	3	-27.261	-28.366	-42.289	0.0610	0.0000	-11.3525	0.84406	-0.00040	0.00009	-0.53616
2025-08-06 14:35:41.520	3	-25.896	-29.861	-42.289	0.1221	0.0000	-22.4609	0.83182	-0.00015	0.00003	-0.55493
2025-08-06 14:35:41.664	3	-24.336	-31.109	-42.276	0.1831	0.0000	-21.9727	0.81836	-0.00027	0.00000	-0.57462
2025-08-06 14:35:41.794	3	-22.529	-32.734	-42.263	0.1221	0.0000	-30.6396	0.80145	-0.00009	-0.00009	-0.59799
2025-08-06 14:35:42.065	3	-21.021	-33.891	-42.315	0.0000	0.0000	-14.2822	0.78653	-0.00034	-0.00006	-0.61746
2025-08-06 14:35:42.206	3	-19.240	-34.931	-42.341	0.0000	-0.0610	-15.5029	0.77094	-0.00055	-0.00015	-0.63681
2025-08-06 14:35:42.279	3	-17.875	-35.750	-42.354	0.0000	-0.1831	-30.7007	0.76050	-0.00055	-0.00024	-0.64926
2025-08-06 14:35:42.403	3	-16.146	-36.582	-42.458	0.0000	0.0000	-16.5405	0.74420	-0.00064	-0.00031	-0.66788
2025-08-06 14:35:42.545	3	-13.988	-37.557	-42.458	0.7324	0.7324	-38.8184	0.72589	-0.00055	-0.00043	-0.68771
2025-08-06 14:35:42.617	3	-12.623	-38.194	-42.458	0.0610	-0.0610	-33.0200	0.71310	-0.00043	-0.00058	-0.70099
2025-08-06 14:35:42.689	3	-10.712	-38.857	-42.510	-0.0610	-0.4883	-37.6587	0.69693	-0.00070	-0.00067	-0.71707
2025-08-06 14:35:42.831	3	-8.294	-39.598	-42.549	0.2441	0.3662	-13.1226	0.67276	-0.00067	-0.00067	-0.73981
2025-08-06 14:35:42.964	3	-6.175	-40.157	-42.588	0.0000	-0.1221	-21.6064	0.65466	-0.00064	-0.00073	-0.75586
