PCTime	MagType	HX	HY	HZ	AsX	AsY	AsZ	Q0	Q1	Q2	Q3
2025-08-06 14:36:48.815	3	-31.447	-21.333	-43.472	0.0000	0.0000	0.0000	0.90714	-0.00067	0.00021	-0.42075
2025-08-06 14:36:52.902	3	-30.836	-22.581	-43.329	0.0610	0.0000	-12.8784	0.90030	-0.00034	0.00043	-0.43512
2025-08-06 14:36:53.171	3	-29.848	-24.050	-43.329	0.0000	0.0000	-12.3901	0.89069	-0.00024	0.00049	-0.45450
2025-08-06 14:36:53.374	3	-28.977	-25.207	-43.329	0.0000	0.0000	-9.9487	0.88211	-0.00031	0.00046	-0.47092
2025-08-06 14:36:53.660	3	-27.508	-27.079	-43.264	0.0610	0.0610	-17.0898	0.86890	-0.00021	0.00037	-0.49490
2025-08-06 14:36:53.875	3	-26.416	-28.431	-43.264	0.0000	0.0000	-1.6479	0.85721	-0.00024	0.00031	-0.51489
2025-08-06 14:36:54.423	3	-24.726	-30.004	-43.277	0.1831	-0.1831	-29.5410	0.84494	-0.00027	0.00021	-0.53476
2025-08-06 14:36:54.640	3	-23.387	-31.252	-43.212	0.0000	0.0610	-16.3574	0.83170	-0.00031	0.00021	-0.55515
2025-08-06 14:36:54.859	3	-21.918	-32.500	-43.212	0.0000	0.0000	-9.0332	0.81726	-0.00024	0.00018	-0.57617
2025-08-06 14:36:55.066	3	-20.631	-33.449	-43.238	0.0000	0.0000	-7.5684	0.80618	-0.00037	0.00018	-0.59158
2025-08-06 14:36:55.280	3	-19.019	-34.580	-43.212	0.0610	-0.0610	-15.1978	0.79190	-0.00037	0.00006	-0.61057
2025-08-06 14:36:55.420	3	-17.875	-35.451	-43.199	0.0610	-0.0610	-4.3945	0.78036	-0.00046	-0.00009	-0.62524
2025-08-06 14:36:58.932	3	-32.474	-20.098	-43.277	0.0000	0.0000	22.3389	0.91266	-0.00140	0.00089	-0.40860
2025-08-06 14:36:59.064	3	-33.176	-18.681	-43.329	-0.0610	0.0000	9.1553	0.92139	-0.00128	0.00095	-0.38849
2025-08-06 14:36:59.276	3	-33.917	-16.991	-43.342	-0.0610	0.0000	13.4277	0.93042	-0.00104	0.00095	-0.36633
2025-08-06 14:36:59.417	3	-34.619	-15.288	-43.394	0.0000	0.0000	8.9722	0.93802	-0.00101	0.00104	-0.34644
2025-08-06 14:37:00.112	3	-35.048	-13.715	-43.394	0.0000	0.0000	0.0000	0.94568	-0.00064	0.00076	-0.32498
2025-08-06 14:37:00.313	3	-35.750	-11.258	-43.394	-0.0610	0.0610	35.2173	0.95456	-0.00085	0.00055	-0.29788
