PCTime	MagType	HX	HY	HZ	AsX	AsY	AsZ	Q0	Q1	Q2	Q3
2025-07-18 18:54:23.113	6	71.140	34.507	9.120	0.9766	0.1831	0.1221	0	0	0	0
2025-07-18 18:54:26.112	6	48.500	56.333	-17.920	91.1865	-38.8794	-0.4272	0	0	0	0
2025-07-18 18:54:27.125	6	-28.260	70.587	-13.707	-83.1909	46.2036	-52.2461	0	0	0	0
2025-07-18 18:54:28.129	6	-24.833	52.020	-40.967	-6.6528	328.4302	41.6870	0	0	0	0
2025-07-18 18:54:29.143	6	61.200	28.547	-16.973	-10.4370	98.4497	-4.3335	0	0	0	0
2025-07-18 18:54:30.143	6	-49.060	50.120	13.387	5.5542	156.1890	7.2021	0	0	0	0
2025-07-18 18:54:32.159	6	51.693	44.500	-27.700	-63.9648	-442.8101	53.6499	0	0	0	0
2025-07-18 18:54:33.160	6	-38.407	64.547	-4.847	-19.9585	-49.4995	-0.6104	0	0	0	0
2025-07-18 18:54:34.160	6	-24.887	51.173	46.640	-3.2959	1.4038	-16.4185	0	0	0	0
2025-07-18 18:54:35.162	6	42.680	46.800	-37.107	49.2554	240.0513	52.9175	0	0	0	0
2025-07-18 18:54:36.161	6	-34.947	52.700	35.560	13.3057	140.1367	0.9766	0	0	0	0
2025-07-18 18:54:37.161	6	-0.320	40.387	-55.253	-2.4414	48.3398	-14.0381	0	0	0	0
2025-07-18 18:54:38.165	6	38.993	42.487	-42.587	-23.8647	-331.4209	25.2075	0	0	0	0
2025-07-18 18:54:39.173	6	-20.833	63.660	36.447	-21.7285	-58.2886	2.9907	0	0	0	0
2025-07-18 18:54:40.189	6	-23.900	55.807	-38.020	-25.2075	-19.7754	33.5693	0	0	0	0
2025-07-18 18:54:41.188	6	-21.687	55.520	43.427	-57.8003	-128.4790	1.2207	0	0	0	0
2025-07-18 18:54:42.190	6	-38.700	42.247	37.907	46.7529	103.7598	16.1743	0	0	0	0
2025-07-18 18:54:43.200	6	63.327	28.773	2.227	124.0845	159.7900	6.7139	0	0	0	0
2025-07-18 18:54:44.199	6	40.980	55.147	-30.760	-5.3711	-49.3164	-6.3477	0	0	0	0
2025-07-18 18:54:45.199	6	50.080	54.600	-19.967	89.2944	178.2227	-57.9224	0	0	0	0
2025-07-18 18:54:46.199	6	75.813	24.320	-1.207	-19.8364	-3.6011	2.2583	0	0	0	0
2025-07-18 18:54:47.199	6	70.653	36.073	-2.133	19.4702	8.1177	-33.4473	0	0	0	0
2025-07-18 18:54:48.200	6	67.680	40.400	-2.213	5.0049	2.8076	2.3193	0	0	0	0
2025-07-18 18:54:52.199	6	69.427	37.660	0.933	1.8311	1.2817	0.0000	0	0	0	0
2025-07-18 18:54:53.208	6	-11.373	79.847	-0.707	-229.4312	-128.2959	-119.2627	0	0	0	0
2025-07-18 18:54:54.214	6	-21.607	62.607	-31.560	-4.1504	117.9199	-37.7808	0	0	0	0
2025-07-18 18:54:55.218	6	54.300	33.473	29.000	16.1133	92.1631	-13.2446	0	0	0	0
2025-07-18 18:54:56.220	6	-46.307	53.607	-5.133	-11.6577	-164.0015	20.5688	0	0	0	0
2025-07-18 18:54:57.220	6	55.693	44.707	-15.547	-18.5547	14.2822	73.4863	0	0	0	0
2025-07-18 18:54:58.220	6	66.280	38.907	-9.500	-23.3154	9.3994	-27.6489	0	0	0	0
2025-07-18 18:54:59.220	6	68.680	39.360	-5.333	-11.7798	1.4648	4.8828	0	0	0	0
