0.3779,-0.6152,-1.063
0.3892,-0.6055,-1.062
0.3999,-0.5947,-1.061
0.4111,-0.585,-1.0615
0.4199,-0.5747,-1.0625
0.4277,-0.563,-1.0645
0.436,-0.5498,-1.0674
0.4438,-0.5366,-1.0708
0.4517,-0.5225,-1.0747
0.459,-0.5063,-1.0781
0.4673,-0.4878,-1.0815
0.4751,-0.4683,-1.085
0.4824,-0.4497,-1.0869
0.4907,-0.4321,-1.0879
0.499,-0.4146,-1.0879
0.5078,-0.3975,-1.0864
0.5166,-0.3794,-1.0845
0.5259,-0.3608,-1.0825
0.5352,-0.3433,-1.0806
0.5439,-0.3257,-1.0786
0.5532,-0.3101,-1.0767
0.563,-0.2944,-1.0742
0.5718,-0.2798,-1.0718
0.5801,-0.2642,-1.0713
0.5874,-0.249,-1.0718
0.5933,-0.2339,-1.0723
0.6006,-0.2197,-1.0723
0.6094,-0.207,-1.0732
0.6172,-0.1938,-1.0732
0.6245,-0.1807,-1.0723
0.6318,-0.1689,-1.0708
0.6392,-0.1572,-1.0688
0.6475,-0.1475,-1.0664
0.6548,-0.1372,-1.0615
0.6626,-0.126,-1.0557
0.6699,-0.1172,-1.0488
0.6777,-0.1099,-1.0405
0.6851,-0.1016,-1.0317
0.6924,-0.0933,-1.0239
0.6997,-0.0854,-1.0151
0.7061,-0.0767,-1.0078
0.7119,-0.0669,-1.0015
0.7178,-0.0596,-0.9971
0.7241,-0.0518,-0.9927
0.73,-0.0435,-0.9897
0.7368,-0.0347,-0.9873
0.7441,-0.0249,-0.9854
0.752,-0.0142,-0.9824
0.7583,-0.0039,-0.9805
0.7646,0.0054,-0.979
0.772,0.0151,-0.9761
0.7788,0.0254,-0.9731
0.7852,0.0366,-0.9697
0.7905,0.0488,-0.9688
0.7969,0.0601,-0.9688
0.8022,0.0693,-0.9692
0.8062,0.0806,-0.9683
0.8115,0.0913,-0.9688
0.8174,0.1016,-0.9722
0.8223,0.1128,-0.9766
0.8281,0.1245,-0.9829
0.8325,0.1353,-0.9893
0.8359,0.145,-0.9946
0.8379,0.1562,-0.998
0.8403,0.168,-1.0005
0.8423,0.1802,-1.001
0.8447,0.1929,-1.0024
0.8481,0.2046,-1.0034
0.8511,0.2168,-1.0029
0.8535,0.229,-1.0039
0.855,0.2397,-1.0044
0.855,0.251,-1.0039
0.856,0.2622,-1.0039
0.856,0.2739,-1.0044
0.8564,0.2856,-1.0049
0.8574,0.2983,-1.0059
0.8579,0.3086,-1.0083
0.8584,0.3188,-1.0103
0.8584,0.3301,-1.0122
0.8589,0.3408,-1.0132
0.8574,0.3506,-1.0132
0.8569,0.3608,-1.0103
0.8569,0.3716,-1.0063
0.8574,0.3818,-1.0029
0.8574,0.3921,-1
0.8579,0.4009,-0.9976
0.8579,0.4087,-0.9961
0.8589,0.4175,-0.9946
0.8599,0.4277,-0.9956
0.8608,0.437,-0.9976
0.8608,0.4443,-0.9995
0.8594,0.4517,-1.0005
0.8584,0.4585,-1.001
0.8569,0.4648,-1.001
0.8555,0.4707,-1
0.8525,0.4756,-0.9976
0.8496,0.48,-0.9932
0.8477,0.4849,-0.9897
0.8462,0.4922,-0.9868
0.8452,0.501,-0.9839
0.8438,0.5103,-0.9814
0.8403,0.5176,-0.9805
0.8369,0.5249,-0.9805
0.8345,0.5322,-0.9814
0.8311,0.5396,-0.9829
0.8262,0.5474,-0.9834
0.8228,0.5537,-0.9834
0.8203,0.5605,-0.9834
0.8164,0.5693,-0.9834
0.8115,0.5762,-0.9824
0.8066,0.5835,-0.9819
0.8013,0.5908,-0.9829
